label,label_id,precision,recall,f1_score,support,model_key,model_id,model_family,condition,seed
آبل باي أو جوجل باي,0,1.0,0.8333333333333334,0.9090909090909092,42.0,SVM,TFIDF_LinearSVC,TF-IDF + LinearSVC,baseline,
إرجاع الدفع بالبطاقة؟,1,0.5,0.4565217391304347,0.4772727272727273,46.0,SVM,TFIDF_LinearSVC,TF-IDF + LinearSVC,baseline,
إعادة الشحن عن طريق رسوم التحويل المصرفي,2,0.4333333333333333,0.490566037735849,0.4601769911504424,53.0,SVM,TFIDF_LinearSVC,TF-IDF + LinearSVC,baseline,
إلغاء التحويل,3,0.4193548387096774,0.325,0.3661971830985915,40.0,SVM,TFIDF_LinearSVC,TF-IDF + LinearSVC,baseline,
ابتلاع البطاقة,4,0.4468085106382978,0.525,0.4827586206896552,40.0,SVM,TFIDF_LinearSVC,TF-IDF + LinearSVC,baseline,
استرداد الأموال غير مرئي,5,0.7307692307692307,0.475,0.5757575757575758,40.0,SVM,TFIDF_LinearSVC,TF-IDF + LinearSVC,baseline,
البطاقات والعملات المدعومة,6,0.75,0.5581395348837209,0.64,43.0,SVM,TFIDF_LinearSVC,TF-IDF + LinearSVC,baseline,
البطاقة الافتراضية لا تعمل,7,0.0,0.0,0.0,44.0,SVM,TFIDF_LinearSVC,TF-IDF + LinearSVC,baseline,
البطاقة المفقودة أو المسروقة,8,0.3076923076923077,0.3018867924528302,0.3047619047619048,53.0,SVM,TFIDF_LinearSVC,TF-IDF + LinearSVC,baseline,
البطاقة لا تعمل,9,0.3157894736842105,0.3,0.3076923076923077,40.0,SVM,TFIDF_LinearSVC,TF-IDF + LinearSVC,baseline,
التحقق من مصدر الأموال,10,0.9615384615384616,0.5208333333333334,0.6756756756756757,48.0,SVM,TFIDF_LinearSVC,TF-IDF + LinearSVC,baseline,
التعبئة عن طريق البطاقة,11,0.3461538461538461,0.1875,0.2432432432432432,48.0,SVM,TFIDF_LinearSVC,TF-IDF + LinearSVC,baseline,
التعبئة عن طريق شحن البطاقة,12,0.6511627906976745,0.6666666666666666,0.6588235294117647,42.0,SVM,TFIDF_LinearSVC,TF-IDF + LinearSVC,baseline,
الحصول على بطاقة احتياطية,13,0.3258426966292135,0.725,0.4496124031007752,40.0,SVM,TFIDF_LinearSVC,TF-IDF + LinearSVC,baseline,
الحصول على بطاقة افتراضية,14,0.4492753623188406,0.6739130434782609,0.5391304347826087,46.0,SVM,TFIDF_LinearSVC,TF-IDF + LinearSVC,baseline,
الحصول على بطاقة افتراضية يمكن التخلص منها,15,0.3636363636363636,0.074074074074074,0.123076923076923,54.0,SVM,TFIDF_LinearSVC,TF-IDF + LinearSVC,baseline,
الحصول على بطاقة فعلية,16,0.5357142857142857,0.375,0.4411764705882353,40.0,SVM,TFIDF_LinearSVC,TF-IDF + LinearSVC,baseline,
الدفع المباشر للدين غير معروف,17,0.7297297297297297,0.5294117647058824,0.6136363636363636,51.0,SVM,TFIDF_LinearSVC,TF-IDF + LinearSVC,baseline,
الدفع بالبطاقة المعلق,18,0.4318181818181818,0.3584905660377358,0.3917525773195876,53.0,SVM,TFIDF_LinearSVC,TF-IDF + LinearSVC,baseline,
الدفع بالبطاقة غير معترف به,19,0.3939393939393939,0.325,0.3561643835616438,40.0,SVM,TFIDF_LinearSVC,TF-IDF + LinearSVC,baseline,
السحب النقدي غير معترف به,20,0.3396226415094339,0.4390243902439024,0.3829787234042553,41.0,SVM,TFIDF_LinearSVC,TF-IDF + LinearSVC,baseline,
الصرف عبر التطبيق,21,0.4285714285714285,0.3,0.3529411764705882,40.0,SVM,TFIDF_LinearSVC,TF-IDF + LinearSVC,baseline,
المستفيد غير مسموح به,22,0.6101694915254238,0.7058823529411765,0.6545454545454545,51.0,SVM,TFIDF_LinearSVC,TF-IDF + LinearSVC,baseline,
الهاتف المفقود أو المسروق,23,0.7647058823529411,0.3170731707317073,0.4482758620689655,41.0,SVM,TFIDF_LinearSVC,TF-IDF + LinearSVC,baseline,
انتظار التحويل,24,0.5294117647058824,0.4285714285714285,0.4736842105263157,42.0,SVM,TFIDF_LinearSVC,TF-IDF + LinearSVC,baseline,
انهاء حساب,25,0.5128205128205128,0.8955223880597015,0.6521739130434783,67.0,SVM,TFIDF_LinearSVC,TF-IDF + LinearSVC,baseline,
بطاقة على وشك الانتهاء,26,0.7272727272727273,0.5714285714285714,0.64,42.0,SVM,TFIDF_LinearSVC,TF-IDF + LinearSVC,baseline,
بطاقة مخترقة,27,0.3246753246753247,0.625,0.4273504273504273,40.0,SVM,TFIDF_LinearSVC,TF-IDF + LinearSVC,baseline,
تحرير التفاصيل الشخصية,28,0.6212121212121212,0.9111111111111112,0.7387387387387387,45.0,SVM,TFIDF_LinearSVC,TF-IDF + LinearSVC,baseline,
تحصيل رسوم التحويل,29,0.6,0.525,0.56,40.0,SVM,TFIDF_LinearSVC,TF-IDF + LinearSVC,baseline,
تحقق من تعبئة الرصيد,30,0.9722222222222222,0.7954545454545454,0.875,44.0,SVM,TFIDF_LinearSVC,TF-IDF + LinearSVC,baseline,
تحقق من هويتي,31,0.3653846153846153,0.475,0.4130434782608695,40.0,SVM,TFIDF_LinearSVC,TF-IDF + LinearSVC,baseline,
تعبئة الرصيد نقدًا أو بشيك,32,0.5357142857142857,0.4838709677419355,0.5084745762711864,62.0,SVM,TFIDF_LinearSVC,TF-IDF + LinearSVC,baseline,
تعبئة تلقائية,33,0.8775510204081632,0.7049180327868853,0.7818181818181819,61.0,SVM,TFIDF_LinearSVC,TF-IDF + LinearSVC,baseline,
تغيير رمز التعريف الشخصي,34,0.875,0.56,0.6829268292682927,50.0,SVM,TFIDF_LinearSVC,TF-IDF + LinearSVC,baseline,
تفعيل بطاقتي,35,0.3529411764705882,0.1363636363636363,0.1967213114754098,44.0,SVM,TFIDF_LinearSVC,TF-IDF + LinearSVC,baseline,
تقدير تسليم البطاقة,36,0.373134328358209,0.5952380952380952,0.4587155963302752,42.0,SVM,TFIDF_LinearSVC,TF-IDF + LinearSVC,baseline,
تلقي الأموال,37,0.8070175438596491,0.8679245283018868,0.8363636363636363,53.0,SVM,TFIDF_LinearSVC,TF-IDF + LinearSVC,baseline,
تلقي مبلغ خاطئ من النقد,38,0.5535714285714286,0.5961538461538461,0.5740740740740741,52.0,SVM,TFIDF_LinearSVC,TF-IDF + LinearSVC,baseline,
تم التحصيل مرتين,39,0.6533333333333333,0.9245283018867924,0.765625,53.0,SVM,TFIDF_LinearSVC,TF-IDF + LinearSVC,baseline,
تم تحصيل رسوم الدفع بالبطاقة,40,0.4606741573033708,0.6612903225806451,0.543046357615894,62.0,SVM,TFIDF_LinearSVC,TF-IDF + LinearSVC,baseline,
تم رفض الدفع بالبطاقة,41,0.2258064516129032,0.175,0.1971830985915492,40.0,SVM,TFIDF_LinearSVC,TF-IDF + LinearSVC,baseline,
توقيت التحويل,42,0.4285714285714285,0.675,0.5242718446601942,40.0,SVM,TFIDF_LinearSVC,TF-IDF + LinearSVC,baseline,
حد السن,43,0.4941176470588235,0.9333333333333332,0.6461538461538462,45.0,SVM,TFIDF_LinearSVC,TF-IDF + LinearSVC,baseline,
حدود البطاقة التي يمكن التخلص منها,44,0.7857142857142857,0.4583333333333333,0.5789473684210527,48.0,SVM,TFIDF_LinearSVC,TF-IDF + LinearSVC,baseline,
حدود التعبئة,45,0.5692307692307692,0.6981132075471698,0.6271186440677966,53.0,SVM,TFIDF_LinearSVC,TF-IDF + LinearSVC,baseline,
دعم أجهزة الصراف الآلي,46,0.75,0.2926829268292683,0.4210526315789473,41.0,SVM,TFIDF_LinearSVC,TF-IDF + LinearSVC,baseline,
دعم البلد,47,0.5869565217391305,0.675,0.627906976744186,40.0,SVM,TFIDF_LinearSVC,TF-IDF + LinearSVC,baseline,
دعم العملات الورقية,48,0.5555555555555556,0.5555555555555556,0.5555555555555556,45.0,SVM,TFIDF_LinearSVC,TF-IDF + LinearSVC,baseline,
ربط البطاقة,49,0.5058823529411764,0.7962962962962963,0.6187050359712231,54.0,SVM,TFIDF_LinearSVC,TF-IDF + LinearSVC,baseline,
رسوم إضافية على كشف الحساب,50,0.3953488372093023,0.425,0.4096385542168674,40.0,SVM,TFIDF_LinearSVC,TF-IDF + LinearSVC,baseline,
رسوم السحب النقدي,51,0.7,0.4883720930232558,0.5753424657534246,43.0,SVM,TFIDF_LinearSVC,TF-IDF + LinearSVC,baseline,
رسوم الصرف,52,0.5238095238095238,0.25,0.3384615384615385,44.0,SVM,TFIDF_LinearSVC,TF-IDF + LinearSVC,baseline,
رفض التحويل,53,0.45,0.4,0.4235294117647059,45.0,SVM,TFIDF_LinearSVC,TF-IDF + LinearSVC,baseline,
