true_label,true_label_id,predicted_label,predicted_label_id,count,true_class_code,predicted_class_code
فشل التحويل,64,المستفيد غير مسموح به,22,11,L64,L22
البطاقة الافتراضية لا تعمل,7,البطاقة لا تعمل,9,10,L07,L09
انهاء حساب,25,التعبئة عن طريق البطاقة,11,10,L25,L11
تم رفض الدفع بالبطاقة,41,إرجاع الدفع بالبطاقة؟,1,10,L41,L01
فشل التعبئة,65,في انتظار التعبئة,66,9,L65,L66
فشل التحويل,64,لم يستلم المستلم التحويل,72,9,L64,L72
رسوم الصرف,52,إعادة الشحن عن طريق رسوم التحويل المصرفي,2,9,L52,L02
انتظار التحويل,24,لم يتم تحديث الرصيد بعد التحويل المصرفي,70,9,L24,L70
لماذا التحقق من الهوية,73,تحقق من هويتي,31,8,L73,L31
طلب استرداد,59,استرداد الأموال غير مرئي,5,7,L59,L05
الدفع المباشر للدين غير معروف,17,الدفع بالبطاقة غير معترف به,19,7,L17,L19
الحصول على بطاقة افتراضية,14,طلب بطاقة فعلية,60,7,L14,L60
الحصول على بطاقة افتراضية يمكن التخلص منها,15,الحصول على بطاقة احتياطية,13,7,L15,L13
إعادة الشحن عن طريق رسوم التحويل المصرفي,2,تحصيل رسوم التحويل,29,7,L02,L29
الحصول على بطاقة افتراضية يمكن التخلص منها,15,الحصول على بطاقة افتراضية,14,6,L15,L14
لماذا التحقق من الهوية,73,غير قادر على التحقق من الهوية,63,6,L73,L63
عادت تعبئة الرصيد,61,في انتظار التعبئة,66,6,L61,L66
فشل التعبئة,65,عادت تعبئة الرصيد,61,5,L65,L61
رفض التحويل,53,المستفيد غير مسموح به,22,5,L53,L22
الدفع المباشر للدين غير معروف,17,السحب النقدي غير معترف به,20,5,L17,L20
